Date,IBM,TXN,CSCO,QCOM,ORCL,NOK,AMAT,SnP
2007-01-03,97.269997,28.559999,27.73,37.459999,17.51,20.66,18.42,1416.599976
2007-01-04,98.309998,29.1,28.459999,39.150002,17.68,20.92,18.799999,1418.339966
2007-01-05,97.419998,28.76,28.469999,38.689999,17.639999,19.84,18.67,1409.709961
2007-01-08,98.900002,28.9,28.629999,38.259998,17.860001,19.639999,18.889999,1412.839966
2007-01-09,100.07,28.84,28.469999,37.84,17.82,19.379999,19.25,1412.109985
2007-01-10,98.889999,29.33,28.68,38.549999,17.77,19.08,19.540001,1414.849976
2007-01-11,98.650002,29.030001,28.690001,39.48,17.389999,19.389999,19.530001,1423.819946
2007-01-12,99.339996,29.059999,28.92,39.619999,17.5,19.49,19.5,1430.72998
2007-01-16,100.82,28.879999,28.040001,39.470001,17.299999,19.85,19.48,1431.900024
2007-01-17,100.019997,29.129999,26.98,39.189999,17.52,19.85,19.4,1430.619995
2007-01-18,99.449997,28.32,26.450001,38.490002,17.120001,19.959999,18.25,1426.369995
2007-01-19,96.169998,28.389999,26.700001,38.869999,17.27,20.129999,18.209999,1430.5
2007-01-22,97.110001,28.59,26.530001,38.509998,17,19.84,17.959999,1422.949951
2007-01-23,97.080002,29.6,26.040001,38.130001,17.120001,19.950001,17.459999,1427.98999
2007-01-24,97.400002,30,26.889999,38.619999,17.139999,20.209999,17.6,1440.130005
2007-01-25,97.510002,30.469999,26.219999,38.16,16.98,21.110001,17.48,1423.900024
2007-01-26,97.449997,31.02,26.35,37.509998,17.15,21.58,17.780001,1422.180054
2007-01-29,98.540001,30.940001,26.209999,37.150002,17.27,21.4,17.610001,1420.619995
2007-01-30,99.370003,30.84,26.25,37.169998,17.16,21.860001,17.790001,1428.819946
2007-01-31,99.150002,31.190001,26.620001,37.66,17.16,22.1,17.73,1438.23999
2007-02-01,99,31.370001,26.59,37.41,17.049999,22.120001,17.940001,1445.939941
2007-02-02,99.169998,31.389999,27.139999,37.189999,17.42,22.07,18.120001,1448.390015
2007-02-05,100.379997,31.59,27.51,37.91,17.16,22.110001,18.129999,1446.98999
2007-02-06,99.849998,31.219999,27.280001,37.68,17.02,22.09,18.15,1448
2007-02-07,99.540001,31.040001,28.09,37.580002,16.91,22.07,18.25,1450.02002
2007-02-08,99.620003,31.08,28.139999,38.259998,16.709999,22.07,18.309999,1448.310059
2007-02-09,98.550003,30.92,27.709999,38.310001,16.700001,21.74,17.969999,1438.060059
2007-02-12,98.580002,30.51,27.540001,38.049999,16.65,21.780001,17.889999,1433.369995
2007-02-13,98.290001,30.27,27.18,38.07,16.620001,22.24,18.18,1444.26001
2007-02-14,99.199997,30.950001,27.459999,39.66,16.77,22.959999,18.889999,1455.300049
2007-02-15,98.919998,31.16,27.559999,41.310001,16.91,22.940001,19.09,1456.810059
2007-02-16,98.989998,30.780001,27.52,42.509998,16.700001,23.139999,19.02,1455.540039
2007-02-20,99.349998,31.049999,27.66,42.700001,16.98,22.99,18.76,1459.680054
2007-02-21,99.089996,30.98,27.379999,42.049999,17.200001,22.879999,18.969999,1457.630005
2007-02-22,98.5,32.09,27.4,42.790001,17.27,22.84,19.200001,1456.380005
2007-02-23,97.730003,32.209999,27.51,43.360001,16.82,22.84,19.190001,1451.189941
2007-02-26,96.910004,31.77,27.24,42.650002,16.82,23.030001,19.09,1449.369995
2007-02-27,93.959999,30.67,25.709999,40.25,16.290001,21.870001,18.459999,1399.040039
2007-02-28,92.940002,30.959999,25.940001,40.299999,16.43,21.83,18.57,1406.819946
2007-03-01,92.269997,30.790001,25.85,40.099998,16.77,21.530001,18.450001,1403.170044
2007-03-02,90.900002,30.76,25.299999,39.48,16.709999,21.139999,17.98,1387.170044
2007-03-05,91.809998,30.9,25.459999,39.139999,16.370001,21.02,17.790001,1374.119995
2007-03-06,93.800003,31.35,25.959999,39.549999,16.879999,21.450001,18.18,1395.410034
2007-03-07,93.940002,31.139999,25.870001,39.689999,16.49,21.51,18.200001,1391.969971
2007-03-08,93,31.700001,26.15,40.240002,16.690001,21.74,18.440001,1401.890015
2007-03-09,93.279999,32.459999,26.08,40.150002,16.629999,21.66,18.33,1402.839966
2007-03-12,94.110001,32.59,26.17,40.119999,17.07,21.629999,18.57,1406.599976
2007-03-13,92.709999,31.74,25.5,41.830002,16.65,21.299999,18.34,1377.949951
2007-03-14,93.760002,31.67,25.85,43.209999,16.879999,21.33,18.389999,1387.170044
2007-03-15,93.449997,31.57,25.809999,43.700001,16.719999,21.66,18.559999,1392.280029
2007-03-16,93.25,31.280001,25.99,43.68,16.700001,21.85,18.49,1386.949951
2007-03-19,93.989998,31.219999,26.299999,42.91,17.18,22.16,18.469999,1402.060059
2007-03-20,94.5,31.35,26.34,43.040001,17.549999,22.139999,18.5,1410.939941
2007-03-21,95.360001,31.700001,26.790001,43.73,18.17,22.860001,18.879999,1435.040039
2007-03-22,95.190002,31.25,26.370001,43.349998,18.49,22.959999,18.809999,1434.540039
2007-03-23,95.029999,31.360001,26.190001,42.57,18.24,22.969999,18.790001,1436.109985
2007-03-26,95,31.15,26.34,42.419998,18.389999,22.870001,18.879999,1437.5
