Date,IBM,TXN,CSCO,QCOM,ORCL,NOK,AMAT,SnP
1/3/2007,75.429054,22.307388,22.741095,29.504307,15.764023,13.291688,14.841777,2257.830078
1/4/2007,76.235504,22.729172,23.339764,30.835375,15.917063,13.458961,15.147962,2270.75
1/5/2007,75.545372,22.463606,23.347965,30.473076,15.881052,12.764138,15.043212,2269
1/8/2007,76.693024,22.572948,23.479174,30.134382,16.079117,12.635467,15.220478,2276.97998
1/9/2007,77.600342,22.526093,23.347965,29.803591,16.043108,12.468194,15.510547,2268.899902
1/10/2007,76.685303,22.908817,23.520184,30.362812,15.998099,12.275189,15.744207,2268.899902
1/11/2007,76.499176,22.674494,23.528381,31.095291,15.655981,12.474627,15.736156,2275.320068
1/12/2007,77.034256,22.697929,23.717009,31.205568,15.755014,12.538964,15.711975,2270.439941
1/16/2007,78.181923,22.557331,22.995327,31.087412,15.574957,12.770573,15.69587,2274.639893
1/17/2007,77.561569,22.752598,22.126032,30.866886,15.773021,12.770573,15.631406,2267.889893
1/18/2007,77.119522,22.11994,21.69138,30.315559,15.412908,12.841339,14.704801,2271.889893
1/19/2007,74.576027,22.174608,21.896406,30.614838,15.54795,12.950709,14.672572,2263.689941
1/22/2007,75.304939,22.330826,21.756996,30.331301,15.304873,12.764138,14.471136,2271.310059
1/23/2007,75.281708,23.119711,21.35515,30.032009,15.412908,12.834907,14.068265,2265.199951
1/24/2007,75.529861,23.432129,22.052219,30.417938,15.430918,13.002178,14.181069,2280.070068
1/25/2007,75.615143,23.79924,21.502764,30.055632,15.286872,13.581198,14.08438,2298.370117
1/26/2007,75.568619,24.228828,21.609375,29.54368,15.439912,13.883572,14.326099,2296.679932
1/29/2007,76.413857,24.197536,21.494562,29.260124,15.54795,13.767769,14.189125,2294.689941
1/30/2007,77.057503,24.119333,21.527363,29.275896,15.448917,14.063712,14.334164,2280.899902
1/31/2007,76.886925,24.393064,21.830803,29.661823,15.448917,14.218118,14.285816,2278.870117
2/1/2007,76.770576,24.533844,21.806194,29.464911,15.349886,14.230986,14.455022,2279.550049
2/2/2007,76.90242,24.549479,22.257248,29.291647,15.682994,14.198816,14.600058,2280.850098
2/5/2007,77.840721,24.705896,22.560678,29.858727,15.448917,14.22455,14.60811,2297.419922
2/6/2007,77.429726,24.416527,22.372053,29.677568,15.322876,14.211684,14.624234,2292.560059
2/7/2007,77.421944,24.275749,23.036335,29.598822,15.223848,14.198816,14.704801,2293.080078
